EventType,Feature,Value
ThreePhase_Fault,I0_ratio_max,0.1300413718477012
ThreePhase_Fault,I0_ratio_max,0.1249185089445279
ThreePhase_Fault,I0_ratio_max,0.1186554118469784
ThreePhase_Fault,I0_ratio_max,0.1123963368448053
ThreePhase_Fault,I0_ratio_max,0.1322778426254203
ThreePhase_Fault,I0_ratio_max,0.1279018443883941
ThreePhase_Fault,I0_ratio_max,0.1240007751395968
ThreePhase_Fault,I0_ratio_max,0.1139174176664479
ThreePhase_Fault,I0_ratio_max,0.1037926394871856
ThreePhase_Fault,I0_ratio_max,0.1240496956464936
ThreePhase_Fault,I0_ratio_max,0.1130907416606416
ThreePhase_Fault,I0_ratio_max,0.111695229934697
ThreePhase_Fault,I0_ratio_max,0.1118746121859189
ThreePhase_Fault,I0_ratio_max,0.134499768618593
ThreePhase_Fault,I0_ratio_max,0.115556887342016
ThreePhase_Fault,I0_ratio_max,0.1251875327296205
ThreePhase_Fault,I0_ratio_max,0.137846361764998
SLG_Fault,V_unbalance_delta_max,0.2229763275052313
SLG_Fault,V_unbalance_delta_max,0.2520724135544565
SLG_Fault,V_unbalance_delta_max,0.2506898151379286
SLG_Fault,V_unbalance_delta_max,0.2810955858889506
SLG_Fault,V_unbalance_delta_max,0.2682403672583542
SLG_Fault,V_unbalance_delta_max,0.2302640953804409
SLG_Fault,V_unbalance_delta_max,0.2805945435486879
SLG_Fault,V_unbalance_delta_max,0.2800939502569698
SLG_Fault,V_unbalance_delta_max,0.286617435583072
SLG_Fault,V_unbalance_delta_max,0.2881113825955396
SLG_Fault,V_unbalance_delta_max,0.2883456255653054
SLG_Fault,V_unbalance_delta_max,0.2911158542000584
SLG_Fault,V_unbalance_delta_max,0.2868611721703821
SLG_Fault,V_unbalance_delta_max,0.301284539214561
SLG_Fault,V_unbalance_delta_max,0.2541050881630134
SLG_Fault,V_unbalance_delta_max,0.2967961876433816
SLG_Fault,V_unbalance_delta_max,0.3023885289238823
SLG_Fault,V_unbalance_delta_max,0.288431870626899
SLG_Fault,V_unbalance_delta_max,0.2930231879860917
SLG_Fault,V_unbalance_delta_max,0.292470006775838
SLG_Fault,V_unbalance_delta_max,0.2952360892784747
SLG_Fault,V_unbalance_delta_max,0.296216202887754
SLG_Fault,V_unbalance_delta_max,0.2893473991628309
SLG_Fault,V_unbalance_delta_max,0.2424425357269093
SLG_Fault,V_unbalance_delta_max,0.3084611392980252
SLG_Fault,V_unbalance_delta_max,0.3077462326166744
SLG_Fault,V_unbalance_delta_max,0.3192693771379369
SLG_Fault,V_unbalance_delta_max,0.2652175143376707
SLG_Fault,V_unbalance_delta_max,0.3133387266173513
SLG_Fault,V_unbalance_delta_max,0.3136089966765396
ThreePhase_Fault,V_unbalance_delta_max,0.1538428344096127
ThreePhase_Fault,V_unbalance_delta_max,0.2573112346247254
ThreePhase_Fault,V_unbalance_delta_max,0.0969334770194371
ThreePhase_Fault,V_unbalance_delta_max,0.0395371126745952
ThreePhase_Fault,V_unbalance_delta_max,0.0773031052584577
ThreePhase_Fault,V_unbalance_delta_max,0.1004573546831227
ThreePhase_Fault,V_unbalance_delta_max,0.1132256095541639
ThreePhase_Fault,V_unbalance_delta_max,0.3396402609640711
ThreePhase_Fault,V_unbalance_delta_max,0.0507001196787592
ThreePhase_Fault,V_unbalance_delta_max,0.078483115465788
ThreePhase_Fault,V_unbalance_delta_max,0.0457663625101555
ThreePhase_Fault,V_unbalance_delta_max,0.0432947729820856
ThreePhase_Fault,V_unbalance_delta_max,0.0526013286809592
ThreePhase_Fault,V_unbalance_delta_max,0.0417095118877245
ThreePhase_Fault,V_unbalance_delta_max,0.0510631612976166
ThreePhase_Fault,V_unbalance_delta_max,0.0297007244294381
ThreePhase_Fault,V_unbalance_delta_max,0.0419318389967177
ThreePhase_Fault,V_unbalance_delta_max,0.0404525708510328
ThreePhase_Fault,V_unbalance_delta_max,0.062181218570234
ThreePhase_Fault,V_unbalance_delta_max,0.0458611056348736
ThreePhase_Fault,V_unbalance_delta_max,0.102036604138454
ThreePhase_Fault,V_unbalance_delta_max,0.0503982725369648
ThreePhase_Fault,V_unbalance_delta_max,0.064304139295685
ThreePhase_Fault,V_unbalance_delta_max,0.0677041406219217
ThreePhase_Fault,V_unbalance_delta_max,0.0501246188724637
ThreePhase_Fault,V_unbalance_delta_max,0.0425287363680628
ThreePhase_Fault,V_unbalance_delta_max,0.0459401650292765
ThreePhase_Fault,V_unbalance_delta_max,0.1302673481715462
ThreePhase_Fault,V_unbalance_delta_max,0.0474950211028919
ThreePhase_Fault,V_unbalance_delta_max,0.0428039836243134
SLG_Fault,I_unbalance_delta_max,0.9998740397014996
SLG_Fault,I_unbalance_delta_max,0.9329178435312552
SLG_Fault,I_unbalance_delta_max,0.9790699512076808
SLG_Fault,I_unbalance_delta_max,0.9700195992205048
SLG_Fault,I_unbalance_delta_max,0.943758509158505
SLG_Fault,I_unbalance_delta_max,0.9440377480668966
SLG_Fault,I_unbalance_delta_max,0.9215323624883688
SLG_Fault,I_unbalance_delta_max,0.9659399013731436
SLG_Fault,I_unbalance_delta_max,1.0271188400464415
SLG_Fault,I_unbalance_delta_max,0.946692452423864
SLG_Fault,I_unbalance_delta_max,0.90136729401286
SLG_Fault,I_unbalance_delta_max,0.8071939654265934
SLG_Fault,I_unbalance_delta_max,0.8884067546542502
SLG_Fault,I_unbalance_delta_max,0.6897103497678059
SLG_Fault,I_unbalance_delta_max,0.9051979282390368
SLG_Fault,I_unbalance_delta_max,0.5200843003217597
SLG_Fault,I_unbalance_delta_max,0.8734114910806026
SLG_Fault,I_unbalance_delta_max,0.787987456944581
SLG_Fault,I_unbalance_delta_max,0.8026652204327531
SLG_Fault,I_unbalance_delta_max,0.8233129862502376
SLG_Fault,I_unbalance_delta_max,0.9365316556134848
SLG_Fault,I_unbalance_delta_max,0.957159769627594
SLG_Fault,I_unbalance_delta_max,0.9238158511686944
SLG_Fault,I_unbalance_delta_max,0.926134043137421
SLG_Fault,I_unbalance_delta_max,0.8680300483320118
SLG_Fault,I_unbalance_delta_max,0.9448609028967176
SLG_Fault,I_unbalance_delta_max,0.9268084140919436
SLG_Fault,I_unbalance_delta_max,0.9645419896325172
SLG_Fault,I_unbalance_delta_max,0.949039311369395
SLG_Fault,I_unbalance_delta_max,0.9435225972990884
ThreePhase_Fault,I_unbalance_delta_max,0.0713650612872708
ThreePhase_Fault,I_unbalance_delta_max,0.2056637743690601
ThreePhase_Fault,I_unbalance_delta_max,0.0513440641210918
ThreePhase_Fault,I_unbalance_delta_max,0.1195408756320149
ThreePhase_Fault,I_unbalance_delta_max,0.0319569011659308
ThreePhase_Fault,I_unbalance_delta_max,0.0936124820334092
ThreePhase_Fault,I_unbalance_delta_max,0.0380925128893669
ThreePhase_Fault,I_unbalance_delta_max,0.0433973833208491
ThreePhase_Fault,I_unbalance_delta_max,0.1509589865962931
ThreePhase_Fault,I_unbalance_delta_max,0.1442793200752515
ThreePhase_Fault,I_unbalance_delta_max,0.1022030887738641
ThreePhase_Fault,I_unbalance_delta_max,0.0561016676970468
ThreePhase_Fault,I_unbalance_delta_max,0.047554262798241
ThreePhase_Fault,I_unbalance_delta_max,0.0416814629212339
ThreePhase_Fault,I_unbalance_delta_max,0.0916712812590894
