BusGroup,Feature,EventType,BinaryClass,Mean,Median,IQR,Minimum,Maximum,Count
Infeasible single-WMU buses,V0 ratio,SSO_LoadSwitch,Non-fault,0.01696691236499108,0.0002627345260105,0.028154206571702953,3.230053235597755e-05,0.1214541980812827,504
Infeasible single-WMU buses,V0 ratio,SSO_Normal,Non-fault,0.016825362840931377,0.0002508786469109,0.027354410532366,5.503338237299538e-06,0.1073682772715462,72
Infeasible single-WMU buses,V0 ratio,SSO_SLG_Fault,Fault,0.1488415215942933,0.11474294813005854,0.1275498812199196,0.0075345562956639,0.8745442505808649,720
Infeasible single-WMU buses,V0 ratio,SSO_ThreePhase_Fault,Fault,0.1001752121663705,0.05264261559491965,0.11312402995221811,0.0010317181744874,0.97821881208259,720
Infeasible single-WMU buses,V2 ratio,SSO_LoadSwitch,Non-fault,0.004282367474735606,0.00053181443509335,0.00643234083140605,0.0002746902905833,0.0226927788171345,504
Infeasible single-WMU buses,V2 ratio,SSO_Normal,Non-fault,0.003995855238901562,0.00030681791850345,0.006396982718104599,0.0002072942609259,0.0193229915182436,72
Infeasible single-WMU buses,V2 ratio,SSO_SLG_Fault,Fault,0.09041468009394991,0.0731173370999858,0.0827420542561165,0.0065610506694455,0.3254353619890758,720
Infeasible single-WMU buses,V2 ratio,SSO_ThreePhase_Fault,Fault,0.052730444108639696,0.011929149560914051,0.03230657420772505,5.134466304211684e-05,1.841693117086252,720
Infeasible single-WMU buses,dI energy,SSO_LoadSwitch,Non-fault,0.004962942482950786,0.00106021204305195,0.0036379467712509004,0.0002461964435222,0.0482087777024026,504
Infeasible single-WMU buses,dI energy,SSO_Normal,Non-fault,0.0043557269337664165,0.0008996238403592999,0.002255183527162275,0.0002090845829323,0.0399857628693345,72
Infeasible single-WMU buses,dI energy,SSO_SLG_Fault,Fault,0.15060278297617963,0.0097836799724129,0.06492527862259287,0.0004653251592049,4.769352582959586,720
Infeasible single-WMU buses,dI energy,SSO_ThreePhase_Fault,Fault,0.47031265160326235,0.01203788174895345,0.10624957543965872,0.0004918860070073,65.89136332517026,720
Infeasible single-WMU buses,dV E72 ratio,SSO_LoadSwitch,Non-fault,0.9723522899879268,0.9776127479329921,0.01569501588755373,0.862964642220283,0.9848451828496296,504
Infeasible single-WMU buses,dV E72 ratio,SSO_Normal,Non-fault,0.24179563056931544,0.24364331622021915,0.004408715587068485,0.2280464652417248,0.2521313290610208,72
Infeasible single-WMU buses,dV E72 ratio,SSO_SLG_Fault,Fault,0.15489912482762844,0.14530639878690638,0.035817253878505845,0.0121185179845753,0.6618709200658541,720
