CaseName,EventType,TargetBus,ObservedBus,BinaryFaultLabel,FaultEvidence,LoadSwitchEvidence,FaultScore
SSO_SLG_Fault_Bus17,SSO_SLG_Fault,17.0,8,1,0.9931715632605389,0.09918990655549181,0.943576609982793
SSO_SLG_Fault_Bus18,SSO_SLG_Fault,18.0,8,1,0.9924254876197363,0.1583802603700464,0.9132353574347131
SSO_SLG_Fault_Bus19,SSO_SLG_Fault,19.0,8,1,0.9929286795374767,0.12905730773839216,0.9284000256682806
SSO_SLG_Fault_Bus20,SSO_SLG_Fault,20.0,8,1,0.9929039206514788,0.15389527956443394,0.9159562808692618
SSO_SLG_Fault_Bus21,SSO_SLG_Fault,21.0,8,1,0.9934164785605399,0.10118716330708656,0.9428228969069966
SSO_SLG_Fault_Bus22,SSO_SLG_Fault,22.0,8,1,0.9934081543005947,0.10218972775002992,0.9423132904255798
SSO_SLG_Fault_Bus23,SSO_SLG_Fault,23.0,8,1,0.9929225251015247,0.1415227624460583,0.9221611438784956
SSO_SLG_Fault_Bus24,SSO_SLG_Fault,24.0,8,1,0.9930832710741848,0.12534722891071706,0.9304096566188262
SSO_SLG_Fault_Bus25,SSO_SLG_Fault,25.0,8,1,0.9928049020556704,0.1305143983394606,0.9275477028859401
SSO_SLG_Fault_Bus26,SSO_SLG_Fault,26.0,8,1,0.992404919930989,0.39304207657303697,0.7958838816444705
SSO_SLG_Fault_Bus27,SSO_SLG_Fault,27.0,8,1,0.9930606838954531,0.09419744390682065,0.9459619619420427
SSO_SLG_Fault_Bus28,SSO_SLG_Fault,28.0,8,1,1.0,0.028033424621436882,0.9859832876892816
SSO_SLG_Fault_Bus29,SSO_SLG_Fault,29.0,8,1,0.9925401837031214,0.24504062057415277,0.8700198734160449
SSO_SLG_Fault_Bus30,SSO_SLG_Fault,30.0,8,1,0.9924940351333433,0.28056028899253044,0.8522138906370781
SSO_ThreePhase_Fault_Bus01,SSO_ThreePhase_Fault,1.0,8,1,0.9166721001010033,0.06734684176299367,0.8829986792195065
SSO_ThreePhase_Fault_Bus02,SSO_ThreePhase_Fault,2.0,8,1,1.0,0.0,1.0
SSO_ThreePhase_Fault_Bus03,SSO_ThreePhase_Fault,3.0,8,1,0.9573437818654578,0.08552144326490607,0.9145830602330047
SSO_ThreePhase_Fault_Bus04,SSO_ThreePhase_Fault,4.0,8,1,1.0,0.0,1.0
SSO_ThreePhase_Fault_Bus05,SSO_ThreePhase_Fault,5.0,8,1,1.0,0.03898570544194556,0.9805071472790272
SSO_ThreePhase_Fault_Bus06,SSO_ThreePhase_Fault,6.0,8,1,1.0,0.0,1.0
SSO_ThreePhase_Fault_Bus07,SSO_ThreePhase_Fault,7.0,8,1,0.9632973831908478,0.08661393808511167,0.919990414148292
SSO_ThreePhase_Fault_Bus08,SSO_ThreePhase_Fault,8.0,8,1,1.0,0.0,1.0
SSO_ThreePhase_Fault_Bus09,SSO_ThreePhase_Fault,9.0,8,1,0.9786840005674529,0.0919403276690496,0.9327138367329281
SSO_ThreePhase_Fault_Bus10,SSO_ThreePhase_Fault,10.0,8,1,0.9975552153722632,0.09470833862980317,0.9502010460573617
SSO_ThreePhase_Fault_Bus11,SSO_ThreePhase_Fault,11.0,8,1,1.0,0.0,1.0
SSO_ThreePhase_Fault_Bus12,SSO_ThreePhase_Fault,12.0,8,1,0.994472485680084,0.11482703618792674,0.9370589675861206
SSO_ThreePhase_Fault_Bus13,SSO_ThreePhase_Fault,13.0,8,1,1.0,0.0,1.0
SSO_ThreePhase_Fault_Bus14,SSO_ThreePhase_Fault,14.0,8,1,0.9849898632184503,0.18616622975257274,0.8919067483421639
SSO_ThreePhase_Fault_Bus15,SSO_ThreePhase_Fault,15.0,8,1,0.9974349985967697,0.07330912555302521,0.9607804358202571
SSO_ThreePhase_Fault_Bus16,SSO_ThreePhase_Fault,16.0,8,1,0.9914570310194403,0.2957513940655037,0.8435813339866884
SSO_ThreePhase_Fault_Bus17,SSO_ThreePhase_Fault,17.0,8,1,0.995995370388485,0.07708093612034339,0.9574549023283132
SSO_ThreePhase_Fault_Bus18,SSO_ThreePhase_Fault,18.0,8,1,0.9938561689101353,0.13148364568455478,0.9281143460678579
SSO_ThreePhase_Fault_Bus19,SSO_ThreePhase_Fault,19.0,8,1,0.9947883711669888,0.1373057887984076,0.926135476767785
SSO_ThreePhase_Fault_Bus20,SSO_ThreePhase_Fault,20.0,8,1,0.9949500758477162,0.13395640018222585,0.9279718757566033
SSO_ThreePhase_Fault_Bus21,SSO_ThreePhase_Fault,21.0,8,1,0.997132856887013,0.0926500309401967,0.9508078414169147
SSO_ThreePhase_Fault_Bus22,SSO_ThreePhase_Fault,22.0,8,1,0.9971179449167834,0.09367597292393573,0.9502799584548155
SSO_ThreePhase_Fault_Bus23,SSO_ThreePhase_Fault,23.0,8,1,0.9923672635015309,0.1327611841632362,0.9259866714199129
SSO_ThreePhase_Fault_Bus24,SSO_ThreePhase_Fault,24.0,8,1,0.9908711184723604,0.1167508778491902,0.9324956795477654
SSO_ThreePhase_Fault_Bus25,SSO_ThreePhase_Fault,25.0,8,1,0.9948339691679724,0.13426535949078544,0.9277012894225797
SSO_ThreePhase_Fault_Bus26,SSO_ThreePhase_Fault,26.0,8,1,0.9931514133394503,0.3643960456146778,0.8109533905321115
SSO_ThreePhase_Fault_Bus27,SSO_ThreePhase_Fault,27.0,8,1,0.9954878205482375,0.08711644545271484,0.95192959782188
SSO_ThreePhase_Fault_Bus28,SSO_ThreePhase_Fault,28.0,8,1,0.9713212904775966,0.08903830302049376,0.9268021389673498
SSO_ThreePhase_Fault_Bus29,SSO_ThreePhase_Fault,29.0,8,1,0.9936171961112068,0.2342462317143303,0.8764940802540416
SSO_ThreePhase_Fault_Bus30,SSO_ThreePhase_Fault,30.0,8,1,0.9934593766257112,0.26770111207779695,0.8596088205868126
SSO_LoadSwitch_Bus02,SSO_LoadSwitch,2.0,9,0,0.9438873902889866,0.9979422798968406,0.4449162503405663
SSO_LoadSwitch_Bus03,SSO_LoadSwitch,3.0,9,0,0.9437783439366864,0.9999931692828415,0.4437817592952656
SSO_LoadSwitch_Bus04,SSO_LoadSwitch,4.0,9,0,0.9438319310295963,0.9994769118995486,0.444093475079822
SSO_LoadSwitch_Bus05,SSO_LoadSwitch,5.0,9,0,0.9439362332229003,0.9806282345360193,0.45362211595489066
SSO_LoadSwitch_Bus07,SSO_LoadSwitch,7.0,9,0,0.9439754315019164,0.9729270875232645,0.4575118877402842
SSO_LoadSwitch_Bus08,SSO_LoadSwitch,8.0,9,0,0.9440766697286914,0.9843935785041327,0.4518798804766251
SSO_LoadSwitch_Bus10,SSO_LoadSwitch,10.0,9,0,0.9445424608988412,0.999285461624835,0.4448997300864237
SSO_LoadSwitch_Bus12,SSO_LoadSwitch,12.0,9,0,0.9441564976294402,0.9993721975906932,0.4444703988340936
SSO_LoadSwitch_Bus14,SSO_LoadSwitch,14.0,9,0,0.9439567638943642,0.9997580905460313,0.4440777186213486
SSO_LoadSwitch_Bus15,SSO_LoadSwitch,15.0,9,0,0.9440777929721125,0.9996713449894736,0.44424212047737566
SSO_LoadSwitch_Bus16,SSO_LoadSwitch,16.0,9,0,0.9438683863933407,0.9999586111024489,0.44388908084211626
SSO_LoadSwitch_Bus17,SSO_LoadSwitch,17.0,9,0,0.9450949255296286,0.9978296508791236,0.4461801000900668
