Rank,Feature,Source,ObservedBus,LoadSwitchVsRestCliffsDelta,LoadSwitchVsRestAbsCliffsDelta,LoadSwitchVsNormalCliffsDelta,LoadSwitchVsSLGCliffsDelta,LoadSwitchVsThreePhaseCliffsDelta,KruskalWallisPValue,OneFeatureBalancedAccuracy,OneFeatureF1,Normal_Mean,Normal_Median,Normal_IQR,LoadSwitch_Mean,LoadSwitch_Median,LoadSwitch_IQR,SLG_Fault_Mean,SLG_Fault_Median,SLG_Fault_IQR,ThreePhase_Fault_Mean,ThreePhase_Fault_Median,ThreePhase_Fault_IQR,Signal,BandHz,Aggregation
16,raw_dI_band_10_20Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,2.8403271919079214e-11,1.0,1.0,0.00897066711904199,0.00897066711904199,0.0,0.0009723227803918813,0.0007962190442591601,7.797669497027447e-05,0.24894387130149678,0.22979664585287574,0.06733522845881895,0.2648261510230366,0.23955740035788745,0.10860586860749297,dI,10_20Hz,A
17,raw_dV_band_30_40Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,2.841498825090993e-11,1.0,1.0,0.025158883748423417,0.025158883748423417,0.0,0.0001148075256588782,2.0220901030352827e-05,1.945322794167355e-05,0.13767732905305555,0.1378794552514423,0.029211350616661025,0.12306926369731497,0.13396664340225628,0.04326280904072957,dV,30_40Hz,3ph_max
18,raw_dV_band_10_20Hz_ratio_B,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,2.9281039740116764e-11,1.0,1.0,0.001164047620107359,0.001164047620107359,0.0,1.0872633843802047e-05,5.4523176375024775e-06,7.21852016614382e-07,0.10436011307189794,0.0850397463232796,0.11383870652152879,0.06638284033252818,0.021571671638704402,0.07852336382307698,dV,10_20Hz,B
19,raw_dV_band_10_20Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,3.1586767110262696e-11,1.0,1.0,0.0013215558914292426,0.0013215558914292426,0.0,3.047129724963741e-05,1.5104813621294368e-05,1.2170294239634204e-06,0.09583266308522957,0.04982804773724761,0.08218603487435291,0.08325055486663172,0.04174093028306924,0.08972682188093793,dV,10_20Hz,A
20,raw_dI_band_30_40Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,3.2112119005771047e-11,1.0,1.0,0.06469382196994697,0.06469382196994697,0.0,0.0004668360728450187,0.00012236693735504927,6.984527884061894e-05,0.1272911468368626,0.1318180301584641,0.023528528183699354,0.1216989597718306,0.12405399859969327,0.023348702870129148,dI,30_40Hz,A
22,raw_dI_band_67_77Hz_ratio_A,raw-derived,1,1.0,1.0,1.0,1.0,1.0,3.647893617767853e-11,1.0,1.0,0.1782256862182664,0.1782256862182664,0.0,0.7934608150481163,0.7970142137405117,0.0025290815337462025,0.04469664284973034,0.03713470798292452,0.01549779970287635,0.043319429091104984,0.03444555410189935,0.014947053700873639,dI,67_77Hz,A
23,raw_dV_band_70_80Hz_ratio_A,raw-derived,1,1.0,1.0,1.0,1.0,1.0,3.817159664485677e-11,1.0,1.0,0.7840622872956834,0.7840622872956834,0.0,0.9716430364446991,0.972555681087805,0.0004683997744667767,0.09545948257518423,0.08474075711726178,0.07501856244175947,0.09148041118793225,0.07734595725362141,0.06382396023473957,dV,70_80Hz,A
25,raw_dI_band_60_80Hz_ratio_A,raw-derived,1,1.0,1.0,1.0,1.0,1.0,3.860211000941932e-11,1.0,1.0,0.5816486902416356,0.5816486902416356,0.0,0.7935491019210307,0.7970284527232362,0.0025248561138573322,0.07006512723177286,0.0658760186393264,0.019691285411660396,0.06867319957085852,0.06038123723185489,0.0180393515213121,dI,60_80Hz,A
26,raw_dV_band_60_80Hz_ratio_A,raw-derived,1,1.0,1.0,1.0,1.0,1.0,3.8943159846583935e-11,1.0,1.0,0.8285239363209493,0.8285239363209493,0.0,0.971761397257053,0.9725658290467147,0.000459423407853099,0.18797892075415107,0.20060986808965603,0.11264408450475659,0.1881658382331823,0.1932478179776077,0.06492248078614271,dV,60_80Hz,A
27,raw_dI_band_70_80Hz_ratio_A,raw-derived,1,1.0,1.0,1.0,1.0,1.0,3.898600224216032e-11,1.0,1.0,0.5425773029927803,0.5425773029927803,0.0,0.7934225165240166,0.7970130334480913,0.002530867037923712,0.03197404347907056,0.02116467581340416,0.013559968362396167,0.032087405204395555,0.023852756294790757,0.013409603341442384,dI,70_80Hz,A
28,raw_dV_band_60_70Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,5.914028060068546e-11,1.0,1.0,0.04446164902526589,0.04446164902526589,0.0,0.0001183608123538592,9.442835338190972e-06,1.9215809737127262e-05,0.09251943817896685,0.10476958185847512,0.04167827533965986,0.09668542704525006,0.11385381164790565,0.038992338173288066,dV,60_70Hz,A
33,raw_dV_band_67_77Hz_ratio_A,raw-derived,1,1.0,1.0,1.0,1.0,1.0,8.854138018121165e-11,1.0,1.0,0.24080973503988798,0.24080973503988798,0.0,0.9716891246912714,0.9725574381292597,0.0004659391255523726,0.13007172011009044,0.1293414817486742,0.09320460663389957,0.13651983732059497,0.132370948712822,0.0405098909584721,dV,67_77Hz,A
36,raw_dI_band_40_50Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,9.726437725067531e-15,0.9920634920634921,0.9767441860465116,0.04586433003087644,0.04586433003087644,0.0,0.00026803040915389224,9.749207960168017e-05,6.659345090619811e-05,0.14678685634910313,0.15241939002545762,0.028624682110407612,0.19449541611138416,0.2072683543570589,0.03750491025098451,dI,40_50Hz,3ph_max
37,raw_dV_band_80_100Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,3.884276400599442e-14,0.9920634920634921,0.9767441860465116,0.012304556005744635,0.012304556005744635,0.0,6.498013951246411e-05,1.31985162244761e-05,1.6227495228556848e-05,0.01619827869108876,0.019099609457187375,0.011104746466143822,0.04748985718280278,0.03535434831846092,0.01821605027722113,dV,80_100Hz,3ph_max
38,raw_dV_band_60_70Hz_ratio_3ph_max,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,7.039687620709475e-13,0.9920634920634921,0.9767441860465116,0.045988815706599205,0.0459888157065992,0.0,0.0001862462684768483,1.787956705692192e-05,3.0278945070827776e-05,0.09271292625440736,0.10476958185847512,0.04167827533965986,0.13490721062099906,0.15463629524851075,0.04136955921564464,dV,60_70Hz,3ph_max
39,raw_dV_band_100_150Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,1.853371354816779e-11,0.9920634920634921,0.9767441860465116,0.008084064063708327,0.008084064063708327,0.0,2.234822248234408e-05,1.0628381559189484e-05,1.8272139687583858e-06,0.0147717522663235,0.017903578409093533,0.013780099304690015,0.04729562174223844,0.020439698401304864,0.012999987431414096,dV,100_150Hz,A
40,raw_dI_band_40_50Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,1.9940916558365942e-11,0.9920634920634921,0.9767441860465116,0.045423221432053,0.045423221432053004,0.0,0.0002232560488577904,4.8530943148653805e-05,4.913763555511349e-05,0.14678685634910313,0.15241939002545762,0.028624682110407612,0.1349299051936149,0.14224708037695288,0.03578718946487408,dI,40_50Hz,A
41,raw_dI_band_100_150Hz_ratio_A,raw-derived,1,-1.0,1.0,-1.0,-1.0,-1.0,5.2598064882117895e-11,0.9920634920634921,0.9767441860465116,0.005009403847007426,0.005009403847007426,0.0,1.7010892087998275e-05,1.2736599645575847e-05,1.3083431262805201e-06,0.0017926052960771973,0.0018091788459266176,0.00041788026071404847,0.0022726856408590295,0.0018031256920076635,0.0005231815395602888,dI,100_150Hz,A
