selected_buses,num_features,normal_trigger_rate,macro_f1,balanced_accuracy,LoadSwitch_recall,Fault_precision,Normal_false_alarm_rate,Normal_recall,Method,k,CandidateBus,Trial
"[1, 2, 3, 4, 5, 6, 21]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,21,
"[1, 2, 3, 4, 5, 6, 22]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,22,
"[1, 2, 3, 4, 5, 6, 23]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,23,
"[1, 2, 3, 4, 5, 6, 24]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,24,
"[1, 2, 3, 4, 5, 6, 25]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,25,
"[1, 2, 3, 4, 5, 6, 26]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,26,
"[1, 2, 3, 4, 5, 6, 27]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,27,
"[1, 2, 3, 4, 5, 6, 28]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,28,
"[1, 2, 3, 4, 5, 6, 29]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,29,
"[1, 2, 3, 4, 5, 6, 30]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,7,30,
"[1, 2, 3, 4, 5, 6, 7]",567,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_selected,7,7,
"[1, 2, 3, 4, 5, 6, 7, 8]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,8,
"[1, 2, 3, 4, 5, 6, 7, 9]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,9,
"[1, 2, 3, 4, 5, 6, 7, 10]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,10,
"[1, 2, 3, 4, 5, 6, 7, 11]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,11,
"[1, 2, 3, 4, 5, 6, 7, 12]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,12,
"[1, 2, 3, 4, 5, 6, 7, 13]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,13,
"[1, 2, 3, 4, 5, 6, 7, 14]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,14,
"[1, 2, 3, 4, 5, 6, 7, 15]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,15,
"[1, 2, 3, 4, 5, 6, 7, 16]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,16,
"[1, 2, 3, 4, 5, 6, 7, 17]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,17,
"[1, 2, 3, 4, 5, 6, 7, 18]",648,0.0,1.0,1.0,1.0,1.0,0.0,1.0,feature_aware_greedy_candidate,8,18,
